#	init_method	max_init_weight	embed_size	rnn_size	post_image_size	pre_output_size	post_image_activation	rnn_type	optimizer	learning_rate	normalize_image	weights_reg_weight	image_dropout_prob	post_image_dropout_prob	embedding_dropout_prob	rnn_dropout_prob	max_gradient_norm	minibatch_size	beam_width	WMD	duration
1	xavier_normal	0.02401029767475993	64	272	64	None	relu	gru	adam	0.008514819794372706	False	3.5302313353e-10	0.2630751286530566	0.05779435420647834	0.37336125427533706	0.4535973581735567	7.609698104888305	19	2	0.041862674431	948
2	normal	0.7843651550112392	260	74	260	None	relu	gru	adadelta	0.00016001463818220702	False	1.7629666309e-10	0.03908278523788112	0.4759998097614929	0.3363257707142088	0.16905264292048613	1.3854268992822782	131	4	0.0275199718098	1145
3	xavier_normal	1.947552700575907e-05	408	67	408	None	none	gru	rmsprop	0.11919422072882185	False	6.479049097778e-08	0.23292643093188686	0.13701716529076738	0.0948085239444745	0.3390228382084652	36.11906497275113	203	5	0.036513769401	485
4	normal	0.08247671470446766	255	427	255	None	relu	gru	adam	0.000834282247555207	False	4.205472798796e-08	0.07054650127521585	0.1478761781922284	0.06702698230757805	0.1278657456859352	7.538226162042829	104	5	0.0757053574801	1031
5	normal	0.00016469472042962398	320	264	320	None	none	gru	adam	6.458493638787292e-05	False	4.40153108669479e-05	0.2519914620175164	0.14463251729226498	0.4091615878935108	0.43519398509605317	264.46651200476083	136	2	0.0	367
6	xavier_normal	0.9038997566359106	240	511	240	None	none	gru	adadelta	8.979860653412721e-05	True	7.05679269766925e-06	0.4216555772655019	0.041689415690471694	0.026265068105886476	0.16961118446351733	48.039723996445204	120	4	0.0274992484029	1475
7	xavier_normal	0.0606407452851296	487	122	487	None	relu	gru	adadelta	0.024407520437325407	False	0.0006652162241132641	0.42981120362641323	0.3708584447560324	0.1356042822328767	0.12982735950860716	4.133881145717028	46	5	0.0	1070
8	xavier_normal	0.004314149159892024	236	427	236	None	none	gru	adam	0.0026039907199145373	True	0.0017644815921378045	0.11578408431468609	0.07856234610982028	0.343976904055461	0.16699392107610125	2.074076342532437	76	1	0.0520586746285	690
9	normal	0.302595934841978	505	163	505	None	relu	gru	adam	0.001826081403617871	True	0.0038300042956102703	0.012291701149356297	0.015695603702989173	0.36757749123661687	0.37541597715392644	9.558079001414342	10	1	0.0495249120586	1390
10	normal	0.0015882474571869937	343	435	343	None	none	gru	rmsprop	0.1147358307211886	True	4.494406196540791e-05	0.34760866483770664	0.1148633764629852	0.32579095976599987	0.3284080948340906	1.1352570779235456	51	2	0.0343962908226	462
11	xavier_normal	0.005033097357277077	295	302	295	None	none	gru	rmsprop	0.23867009850684626	True	0.006476519919645423	0.49297012058345524	0.21996487596260733	0.38465768257766836	0.3573279247977388	262.11618778825164	274	3	0.0279287374681	644
12	xavier_normal	1.172899152200286e-05	176	323	176	None	none	gru	rmsprop	0.0034316586193198777	True	0.00010793473999394973	0.017339589896004818	0.06311182618329965	0.17836364520671336	0.2322205719224113	70.73178717704177	194	2	0.0660826696746	706
13	normal	6.728334748429104e-05	172	461	172	None	none	gru	adadelta	0.2760696553583848	True	1.161991082659e-08	0.1561285119357135	0.3419929715719286	0.17841385099648524	0.17008572193677088	141.1624845573692	72	1	0.0476216500563	930
14	xavier_normal	1.755479975375558e-05	425	182	425	None	relu	gru	adam	0.0138332447917946	False	0.03984219772720365	0.17298526491306568	0.24160722933441758	0.12621653699897464	0.22594322976251896	967.6791312733287	46	4	0.0476216500563	552
15	normal	0.003841416029790326	408	432	408	None	none	gru	adadelta	0.1393645397498272	True	0.003034432200457425	0.1322739469608056	0.24408226891903145	0.4441647526146997	0.18005218520826496	417.3677306836532	59	1	0.0476216500563	1097
16	xavier_normal	0.08504837813682582	414	303	414	None	none	gru	rmsprop	0.06182229300318407	True	1.589127421269202e-05	0.15670855063171632	0.07541171146052512	0.32442776095352505	0.050524166009019836	905.6611513711662	13	1	0.0269494230977	504
17	xavier_normal	0.027364629849683342	446	174	446	None	none	gru	rmsprop	0.0005530417333608149	True	1.5248246104614e-07	0.48344224378891265	0.02004616356860989	0.22656503443601694	0.13981170089347847	761.9996620725911	151	4	0.0581149510941	895
18	normal	4.465551057140081e-05	96	468	96	None	none	gru	rmsprop	0.003983254751743075	True	8.17408243416505e-06	0.3191662809065037	0.28943512774225433	0.385802821740167	0.3999620755502968	152.31397677026106	41	1	0.0732969393942	1206
19	normal	0.01066538226022144	363	238	363	None	none	gru	adadelta	0.16596630391172623	False	0.005091245090561274	0.4925598025760762	0.18984594111151426	0.24948538135483267	0.26893856053771314	46.38898654672163	30	4	0.0476216500563	1387
20	normal	0.0007727069091023796	386	224	386	None	relu	gru	rmsprop	0.01821273521038986	False	1.148791974e-10	0.28691375706564537	0.41681162239137076	0.12950574354857644	0.36574061268683594	397.74326529510665	61	1	0.0464090672352	331
21	normal	0.005913964167031968	420	205	420	None	none	gru	adadelta	0.004674011991107534	False	6.213875116660822e-05	0.2831652802741979	0.10319682474185074	0.09196509027463025	0.14866530987077045	4.106830670272565	264	1	0.00842551800052	467
22	normal	0.07407125069497673	254	64	254	None	relu	gru	adam	0.032534228737169824	True	9.5612592285041e-07	0.16579402248326855	0.1094858313550923	0.013458537077901237	0.21626244070971246	95.52413089040724	198	1	0.0602112686831	330
23	xavier_normal	0.0013476084429643904	145	407	145	None	relu	gru	adadelta	0.02168107860488342	True	0.012702526819945943	0.048024626352321756	0.23944018579332227	0.14643189935539444	0.06677959584430006	28.105386765490433	238	5	0.0	749
