architecture	dataset	run	use_generated_sents	sent_len	token_index	num_caps	gradient_wrt_image_next	gradient_wrt_image_max	gradient_wrt_prefix_next	gradient_wrt_prefix_max	gradient_wrt_prevtoken_next	gradient_wrt_prevtoken_max	gradient_wrt_firsttoken_next	gradient_wrt_firsttoken_max	gradient_wrt_postimage_next	gradient_wrt_postimage_max	gradient_wrt_multimodalvec_next	gradient_wrt_multimodalvec_max	omission_image_cos	omission_postimage_cos	omission_multimodalvec_cos	omission_logits_cos	omission_output_cos	omission_output_jsd	num_negatives_logit	frac_negatives_logit	total_time
init	flickr8k	1	True	4	0	22	0.0010653522	0.03400251	0.00033907505	0.01042038	0.0005430162	0.018503089	0.00013513395	0.002337671	0.00018842323	0.0058385623	0.00022422672	0.008141067	0.8991004916077311	0.449972002343698	0.4860293350436471	0.3213315524838187	0.7266636423089288	0.3895823982628909	2049.8636363636365	0.8095827947723683	2
init	flickr8k	1	True	4	1	22	2.031309e-05	0.06148425	3.9399383e-06	0.003387081	5.516973e-06	0.004631074	2.362902e-06	0.0021430873	3.3094436e-06	0.008223535	5.1927523e-06	0.010268442	0.8991004916077311	0.449972002343698	0.4144057319922881	0.2956954836845398	0.8510925064117394	0.4933387813242999	1913.0454545454545	0.7555471779405428	0
init	flickr8k	1	True	4	2	22	0.000670231	0.028548647	0.0001064358	0.0056637763	0.00022488646	0.013227886	4.4599037e-05	0.0015158284	0.00010936295	0.0048463796	0.00015268158	0.008517764	0.8991004916077311	0.449972002343698	0.3818318816748532	0.20749545368281277	0.1924846971576864	0.1660389852794734	1965.6818181818182	0.7763356311934512	0
init	flickr8k	1	True	4	3	22	0.00228037	0.03107936	0.00050027616	0.0063562463	0.0014503341	0.015623977	4.8200927e-05	0.00079966243	0.000348603	0.004928438	0.00056660245	0.009387426	0.8991004916077311	0.449972002343698	0.3350444490259344	0.17158722064711832	0.16743699664419348	0.09461496804248203	2119.2727272727275	0.8369955478960219	0
init	flickr8k	1	True	4	4	22	0.00011332934	0.03492758	1.7587146e-05	0.0034018718	4.329666e-05	0.0051368917	2.0311281e-06	0.00076796435	1.592136e-05	0.005232635	3.265386e-05	0.009032855	0.8991004916077311	0.449972002343698	0.34408744356848975	0.2573452889919281	0.5792278450998393	0.3176637515425682	1920.2272727272727	0.7583835990234095	0
init	flickr8k	1	True	4	5	22	0.03842409	0.039590124	0.0059010074	0.0061346022	0.013804558	0.015107312	0.0011884667	0.0011835431	0.005497994	0.005739143	0.007956379	0.008816482	0.8991004916077311	0.449972002343698	0.3313478204337033	0.18071915886618875	0.11681859466162595	0.10409633349627256	2071.7727272727275	0.8182356742783284	1
init	flickr8k	1	True	5	0	95	0.00085091684	0.03316414	0.0002554004	0.01034318	0.00041260532	0.018209614	9.819544e-05	0.0024767467	0.00014888856	0.0056549846	0.00017303247	0.007667493	0.9019022082027636	0.4515694775079426	0.48545757877199275	0.32297332224092984	0.6919724729108183	0.38211358973854465	2052.4	0.8105845181674566	1
init	flickr8k	1	True	5	1	95	3.6054962e-07	0.054837964	5.0795016e-08	0.0035999438	6.1626444e-08	0.005066191	3.99636e-08	0.0021336975	5.50376e-08	0.008000923	8.287798e-08	0.010386407	0.9019022082027636	0.4515694775079426	0.4014428317546844	0.2985380109987761	0.8429467238755407	0.5039007494324133	1944.1368421052632	0.767826556913611	1
init	flickr8k	1	True	5	2	95	0.00052383007	0.02887511	6.431815e-05	0.0046504554	0.00012532467	0.010176175	3.110031e-05	0.0012752498	8.089431e-05	0.0048157847	0.00012625208	0.00832593	0.9019022082027636	0.4515694775079426	0.3657019640270032	0.22609878778457643	0.30583789830929353	0.21904689429180796	1942.0526315789473	0.7670034089964247	1
init	flickr8k	1	True	5	3	95	0.0014920366	0.033826035	0.00027014097	0.004763444	0.000772059	0.0132724885	3.4176755e-05	0.00066071155	0.00022313242	0.0049799904	0.00040404667	0.009078715	0.9019022082027636	0.4515694775079426	0.3197399892305073	0.1802353495045712	0.3372044242526356	0.1617670761127221	2074.178947368421	0.8191859981707824	2
