dataset	run	sent_len	token_index	gradient_wrt_prefix_next	gradient_wrt_prefix_max	gradient_wrt_prevtoken_next	gradient_wrt_prevtoken_max	gradient_wrt_firsttoken_next	gradient_wrt_firsttoken_max	gradient_wrt_multimodalvec_next	gradient_wrt_multimodalvec_max	total_time
mscoco	1	6	0	0.00017402651	0.010317131	0.0002673761	0.018008037	8.067699e-05	0.0026262258	0.00012590853	0.005412303	4
mscoco	1	6	1	1.4086064e-05	0.013949567	1.9331843e-05	0.021421485	8.840285e-06	0.006477648	1.1089493e-05	0.010086053	2
mscoco	1	6	2	6.3361884e-05	0.019851562	8.972939e-05	0.033508856	3.8816528e-05	0.0061421855	5.0228908e-05	0.013547584	3
mscoco	1	6	3	4.671115e-05	0.019575743	6.145523e-05	0.033563808	2.973818e-05	0.0044933627	3.241696e-05	0.014365196	3
mscoco	1	6	4	5.9494178e-05	0.01961565	7.434348e-05	0.035048757	4.0848492e-05	0.0040540667	4.0209383e-05	0.014866115	3
mscoco	1	6	5	9.333037e-05	0.019411234	0.000115501156	0.034190595	7.1739334e-05	0.003875826	5.80901e-05	0.015111886	4
mscoco	1	6	6	0.00019199558	0.019801928	0.00023341799	0.035738878	0.00015514463	0.0040064966	0.00010999519	0.01634	4
mscoco	1	6	7	0.019634133	0.022869477	0.018212225	0.033192407	0.018097665	0.013931806	0.008958106	0.014485915	5
mscoco	1	7	0	0.00017402649	0.010317131	0.0002673761	0.018008037	8.067699e-05	0.0026262256	0.00012590855	0.005412303	42
mscoco	1	7	1	1.1722001e-05	0.013556836	1.610198e-05	0.020740038	7.3420188e-06	0.006373632	9.07212e-06	0.009940758	43
mscoco	1	7	2	5.4826578e-05	0.018653078	7.898347e-05	0.031466916	3.3461598e-05	0.0057583107	4.2925716e-05	0.012757248	52
mscoco	1	7	3	4.2719475e-05	0.019278957	5.6541427e-05	0.03257904	2.7396889e-05	0.0046586874	2.9740222e-05	0.014285008	61
mscoco	1	7	4	4.940076e-05	0.01879299	6.272533e-05	0.032943968	3.4837245e-05	0.003948237	3.3100685e-05	0.0145016555	71
mscoco	1	7	5	0.00010124417	0.018167617	0.00012242883	0.033781778	7.909374e-05	0.0036184718	6.4633154e-05	0.01466212	78
mscoco	1	7	6	0.0001609709	0.018149188	0.00018077974	0.03309036	0.00014195709	0.0035995606	8.92925e-05	0.014914847	86
mscoco	1	7	7	0.0014974826	0.0190616	0.0017334357	0.035230823	0.0012395022	0.0042003295	0.0007441303	0.016021535	94
mscoco	1	7	8	0.0227159	0.023132257	0.029521348	0.03215763	0.014732502	0.014070001	0.013304516	0.014243296	102
mscoco	1	8	0	0.00017402653	0.010317132	0.0002673761	0.018008038	8.067698e-05	0.0026262256	0.00012590853	0.0054123034	62
mscoco	1	8	1	1.0149177e-05	0.013249292	1.4056233e-05	0.02026047	6.242121e-06	0.0062381113	7.738825e-06	0.009743864	62
mscoco	1	8	2	5.0717495e-05	0.018136809	7.358626e-05	0.030540641	3.076559e-05	0.00557297	3.990627e-05	0.012330965	74
mscoco	1	8	3	3.949776e-05	0.019076064	5.2558404e-05	0.032289125	2.5372572e-05	0.0045410953	2.7548082e-05	0.014224589	85
mscoco	1	8	4	3.903905e-05	0.018863875	4.973644e-05	0.032682434	2.7766391e-05	0.003986413	2.6480851e-05	0.01453485	96
