#	init_method	max_init_weight	embed_size	rnn_size	post_image_size	pre_output_size	post_image_activation	rnn_type	optimizer	learning_rate	normalize_image	weights_reg_weight	image_dropout_prob	post_image_dropout_prob	embedding_dropout_prob	rnn_dropout_prob	max_gradient_norm	minibatch_size	beam_width	WMD	duration
1	xavier_normal	0.02401029767475993	64	272	337	None	none	gru	adam	5.41489867161065e-05	True	0.0017263231135763984	0.45944291549231964	0.061120953841465334	0.4128207703930234	0.27206602285502374	110.9537427886785	53	2	0.04749879948096418	1156
2	xavier_normal	1.04648501593232e-05	486	224	355	None	none	gru	adam	0.05770938405979035	True	1.2901832616062e-06	0.09285374401963355	0.1497603269138408	0.12689304341982596	0.13668379803736033	69.29202110254738	195	4	0.03502853753529603	377
3	normal	0.00018301002811961894	171	322	344	None	none	gru	adam	1.152066731371642e-05	False	2.230367909814262e-05	0.16839521181284153	0.09435137524580814	0.03663141286206779	0.10150680796460418	9.806480005853574	60	4	0.047681082804507065	1317
4	xavier_normal	0.9038997566359106	240	511	446	None	none	gru	adadelta	0.00040512400546444447	True	3.0698936063e-10	0.37656892777722767	0.07910410345859388	0.155622661309429	0.266937346530044	85.60382347303943	184	5	0.025624816404389416	1844
5	xavier_normal	0.0606407452851296	487	122	209	None	relu	gru	rmsprop	0.37973687696388303	True	9.655236932371842e-05	0.3136086644963265	0.21968253605707322	0.36476818200651023	0.1683674762385142	22.537548729435894	143	5	0.02564339599278268	774
6	xavier_normal	0.004314149159892024	236	427	432	None	relu	gru	adadelta	5.122159894457208e-05	False	0.006363530853773393	0.2299016685469753	0.23527760489703975	0.1012097175715633	0.04679795851553915	11.47819853409729	122	1	0.024579037519397905	1223
7	normal	0.302595934841978	505	163	190	None	relu	gru	rmsprop	3.536555917717469e-05	True	0.011190517817848297	0.4883727953753748	0.2015215904689998	0.26860359957499425	0.23771862220329032	1.1246034662447493	179	1	0.02584268893821933	769
8	xavier_normal	1.128525746674738e-05	402	505	202	None	none	gru	adam	1.733460324114399e-05	False	1.616506057996055e-05	0.11416993724593885	0.4530401909424558	0.4367028162117359	0.49879347776877125	12.373798303516526	240	2	0.04779796515891276	1129
9	normal	0.0003343999180474484	403	244	163	None	relu	gru	adadelta	0.00042249439096849676	True	4.38416827176e-09	0.38084085103341947	0.4406412589895049	0.08795645804069387	0.09473761081631968	929.8605269640566	181	1	0.0	803
10	xavier_normal	1.755479975375558e-05	425	182	443	None	relu	gru	adadelta	0.0027518068525171223	False	3.2471983079927e-07	0.051447780229041465	0.23410979093318607	0.38964047376972843	0.33203031663554333	542.3050189786829	300	5	0.0	937
11	normal	0.003841416029790326	408	432	72	None	relu	gru	adadelta	0.0026653198442670363	True	6.982645439814925e-05	0.027284265550031835	0.13467183145941994	0.0793974134636279	0.45362704008856564	20.918531891070113	118	2	0.0	1124
12	xavier_normal	0.08504837813682582	414	303	328	None	none	gru	adadelta	1.037455710290333e-05	True	5.321499210007e-08	0.36640917254022176	0.12396192979374313	0.0768232481511515	0.4753092419395162	42.16507259723438	155	4	0.026816091860054556	1500
13	xavier_normal	0.027364629849683342	446	174	155	None	relu	gru	rmsprop	0.0004174365178653365	False	1.100695735713e-08	0.3742572589475084	0.08056995287571968	0.029295192856826142	0.16624394908407106	112.31286342572005	151	4	0.07842939793302806	997
14	normal	4.465551057140081e-05	96	468	287	None	relu	gru	adadelta	0.18593644910728477	True	0.0010530112524550345	0.18264443292592678	0.07748069829817956	0.24895514090212306	0.18995420932741525	2.5069810484442963	80	2	0.04762165005634645	1434
15	normal	0.01066538226022144	363	238	345	None	relu	gru	adadelta	0.3374853289263361	False	5.530474282871736e-05	0.38633981714069704	0.10588947825019016	0.386009233068566	0.05465920097335099	2.52216729484666	71	1	0.07654008537211207	1227
16	xavier_normal	0.01176627012288211	285	511	175	None	relu	gru	adadelta	0.015095320028025865	False	0.00022219621328050125	0.3521797760574408	0.13959206002052657	0.3603348864453338	0.1357521478996058	3.4056339927264707	188	3	0.0006925547370169247	1177
17	normal	0.07407125069497673	254	64	353	None	none	gru	adadelta	1.829038774095188e-05	True	1.1966824140672e-07	0.2815001917317065	0.013685219805582075	0.03267164910926324	0.26879966420130763	459.99578274325233	198	1	0.025482864862322444	749
18	xavier_normal	0.0013476084429643904	145	407	485	None	relu	gru	adadelta	0.004013245634056052	False	1.259974138392e-08	0.44119161775726556	0.23705755725085875	0.22907758613252566	0.3382057031004101	6.107749190738726	186	5	0.0	1160
19	xavier_normal	5.638643886179772e-05	151	340	106	None	relu	gru	adadelta	0.0003391678314501306	False	0.010701578620036538	0.46296422331677833	0.3746482729479274	0.33094023161547026	0.03223615858603735	7.774447291300243	159	5	0.0	904
20	normal	0.0011833500175013124	91	262	291	None	none	gru	rmsprop	0.00015634191439429674	True	3.539011831271e-08	0.2640610522560745	0.22772425241248329	0.29690428690757464	0.08650790798489656	448.5028039013689	47	4	0.07182049202131949	1392
21	xavier_normal	0.00017461523480289464	336	442	172	None	none	gru	adam	0.027718798202902843	False	0.06844471091675883	0.30305794268913183	0.09101388204657203	0.3339168753063592	0.2594507982857169	1.7041004100122747	93	4	0.02409763778450074	386
22	xavier_normal	7.461046305089071e-05	482	292	418	None	none	gru	rmsprop	0.0025360190880628626	True	7.869784987379e-08	0.20919617352670872	0.37150134816556857	0.1444176040155926	0.29333408929783134	1.3267662871195467	172	4	0.07951718311497018	1272
