architecture	dataset	run	use_generated_sents	sent_len	token_index	num_caps	gradient_wrt_image_next	gradient_wrt_image_max	gradient_wrt_prefix_next	gradient_wrt_prefix_max	gradient_wrt_prevtoken_next	gradient_wrt_prevtoken_max	gradient_wrt_firsttoken_next	gradient_wrt_firsttoken_max	gradient_wrt_postimage_next	gradient_wrt_postimage_max	gradient_wrt_multimodalvec_next	gradient_wrt_multimodalvec_max	omission_image_cos	omission_postimage_cos	omission_multimodalvec_cos	omission_logits_cos	omission_output_cos	omission_output_jsd	num_negatives_logit	frac_negatives_logit	total_time
merge	flickr8k	1	True	5	0	100	2.5337265e-05	0.0006401698	0.0012338257	0.013056465	0.001902742	0.021009954	0.0005649092	0.0051029786	9.075711e-05	0.0022111358	0.00021153661	0.003113971	0.902517905831337	0.7314891052246094	0.692780671864748	0.11998576521873475	0.44594363927841185	0.3040903250873089	2454.06	0.969218009478673	1
merge	flickr8k	1	True	5	1	100	2.304818e-08	0.0016207026	5.123859e-07	0.009492971	7.820137e-07	0.013777657	2.4275812e-07	0.005208284	7.622492e-08	0.0050331545	1.9386363e-07	0.005608737	0.902517905831337	0.7314891052246094	0.6618296276032924	0.1388001573085785	0.8712568354047835	0.5027187714725733	2393.19	0.9451777251184834	1
merge	flickr8k	1	True	5	2	100	1.398247e-05	0.000864658	0.00027722676	0.01111781	0.00054775755	0.019416148	9.8958284e-05	0.0035956847	4.962589e-05	0.0030746022	0.00010725926	0.004665835	0.902517905831337	0.7314891052246094	0.6604941189289093	0.10671128153800964	0.28538878440856935	0.22945449784398078	2409.82	0.9517456556082149	1
merge	flickr8k	1	True	5	3	100	4.566172e-05	0.0011678053	0.0007332571	0.0082143815	0.0018025963	0.021218233	0.00016654667	0.0014676251	0.00015942156	0.0037944817	0.0003195256	0.004909332	0.902517905831337	0.7314891052246094	0.6571144683659077	0.09344328820705414	0.2581179039552808	0.15985479086637497	2434.81	0.9616153238546603	1
merge	flickr8k	1	True	5	4	100	4.5840593e-06	0.0010931621	0.00010012518	0.009684816	0.00029093082	0.027111683	1.5694393e-05	0.0014784534	1.5402737e-05	0.003735257	3.6270812e-05	0.005420351	0.902517905831337	0.7314891052246094	0.6591597935557365	0.10022359430789947	0.1383424437046051	0.11250873515382409	2451.77	0.9683135860979463	2
merge	flickr8k	1	True	5	5	100	2.2844346e-05	0.0016553068	0.00031449515	0.0055781775	0.0010957926	0.0145446705	3.7446283e-05	0.00053196575	8.68343e-05	0.0052062855	0.00015197915	0.0057141744	0.902517905831337	0.7314891052246094	0.6537916074693203	0.11159591853618622	0.7665872305925586	0.4525741621106863	2426.22	0.9582227488151658	2
merge	flickr8k	1	True	5	6	100	0.00076061004	0.00081697496	0.009902695	0.00986897	0.028250234	0.028539255	0.0019811976	0.0018997875	0.0026843678	0.0028670514	0.004962763	0.005161208	0.902517905831337	0.7314891052246094	0.6627394154667854	0.09579649269580841	0.049468958377838136	0.07681361151859165	2439.12	0.9633175355450236	2
merge	flickr8k	1	True	6	0	87	2.3734921e-05	0.00066970085	0.0011787271	0.012381871	0.0018156263	0.020019783	0.00054182793	0.004743959	8.67511e-05	0.0022914156	0.00020108276	0.0031030863	0.8997186121755633	0.7424812358001183	0.7034968504275398	0.12850237577811055	0.412978931062523	0.29433129145496195	2448.1954022988507	0.9669018176535745	1
merge	flickr8k	1	True	6	1	87	1.6179335e-08	0.001795699	3.1758032e-07	0.009212998	4.4813885e-07	0.012636662	1.8702174e-07	0.0057893298	5.3071734e-08	0.0053666676	1.3523828e-07	0.0057455604	0.8997186121755633	0.7424812358001183	0.6708880972930755	0.14917186553450837	0.7971517571258819	0.4620691251823272	2382.793103448276	0.9410715258484502	1
merge	flickr8k	1	True	6	2	87	8.121845e-06	0.0010169577	0.00013816598	0.012569011	0.00027834426	0.023357928	5.3163047e-05	0.0040606884	2.894925e-05	0.0034534202	6.226312e-05	0.0052497876	0.8997186121755633	0.7424812358001183	0.6702139840043825	0.119797652480246	0.30233493415724444	0.23190142394675092	2399.4942528735633	0.9476675564271577	1
merge	flickr8k	1	True	6	3	87	5.701473e-06	0.0012122173	8.5367e-05	0.005535357	0.0002069467	0.01256729	2.503652e-05	0.0012576089	2.0216285e-05	0.0039135446	4.1932177e-05	0.004457717	0.8997186121755633	0.7424812358001183	0.6666574274328934	0.11552267924122427	0.5626996286513134	0.3080168827169243	2394.287356321839	0.9456111201902998	1
