corpus	frozen_prefix	max_epochs	run	corpus_size	langmod_vocab_size	langmod_num_params	langmod_mean_prob	langmod_median_prob	langmod_geomean_prob	langmod_mean_pplx	langmod_median_pplx	langmod_geomean_pplx	langmod_vocab_used	langmod_vocab_used_frac	langmod_min_freq_vocab_used	langmod_min_sent_len	langmod_mean_sent_len	langmod_max_sent_len	langmod_num_reused_sents	langmod_num_reused_sents_frac	langmod_reused_sents_WMD	langmod_num_reused_3grams	langmod_num_reused_4grams	langmod_num_reused_5grams	langmod_num_unique_sents	langmod_num_unique_sents_frac	langmod_num_types_nouns	langmod_num_types_adjectives	langmod_num_types_verbs	langmod_num_types_adverbs	langmod_num_types_unigrams	langmod_num_types_bigrams	langmod_num_types_trigrams	langmod_num_epochs	langmod_training_time	langmod_total_time	capgen_vocab_size	capgen_num_params	capgen_mean_prob	capgen_median_prob	capgen_geomean_prob	capgen_mean_pplx	capgen_median_pplx	capgen_geomean_pplx	capgen_vocab_used	capgen_vocab_used_frac	capgen_min_freq_vocab_used	capgen_min_sent_len	capgen_mean_sent_len	capgen_max_sent_len	capgen_num_reused_sents	capgen_num_reused_sents_frac	capgen_reused_sents_WMD	capgen_num_reused_3grams	capgen_num_reused_4grams	capgen_num_reused_5grams	capgen_num_unique_sents	capgen_num_unique_sents_frac	capgen_num_types_nouns	capgen_num_types_adjectives	capgen_num_types_verbs	capgen_num_types_adverbs	capgen_num_types_unigrams	capgen_num_types_bigrams	capgen_num_types_trigrams	capgen_BLEU_1	capgen_BLEU_2	capgen_BLEU_3	capgen_BLEU_4	capgen_METEOR	capgen_ROUGE_L	capgen_CIDEr	capgen_SPICE	capgen_WMD	capgen_R@1	capgen_R@5	capgen_R@10	capgen_median_rank	capgen_R@1_frac	capgen_R@5_frac	capgen_R@10_frac	capgen_median_rank_frac	capgen_num_epochs	capgen_training_time	capgen_total_time
mscoco	True	15	3	30000	2573	2632709	1.15928641179e-09	1.03572350776e-17	4.44311848743e-19	72.8655770909	33.7236423871	37.2317634447	1275	0.49553050913330743	5	5	10.443	20	0	0.0	None	5347	2675	1157	1000	1.0	865	205	263	30	1275	4590	6608	15	627	639	1629	4913943	7.5682200547e-06	7.98335145516e-14	4.42510889388e-15	25.8648316985	14.2416766975	15.6837196209	282	0.1731123388581952	5	5	9.324	16	0	0.0	None	7251	5816	4135	808	0.808	183	23	59	1	282	681	1174	0.624663498263571	0.4335953535871636	0.2889143530056515	0.1870689581865717	0.18946978347099241	0.4442036816	0.475118157311	0.131322798397	0.139551876812	162	418	543	9.0	0.162	0.418	0.543	0.009	11	548	984
mscoco	True	15	4	30000	2545	2613585	1.81221693274e-09	8.93240656332e-18	3.35650343824e-19	81.1908547725	34.0029431354	37.95579837	1303	0.5119842829076621	5	5	10.419	20	0	0.0	None	5164	2582	1143	1000	1.0	875	228	282	32	1303	4652	6691	15	659	669	1615	4897227	8.23124854534e-06	9.39672953855e-14	4.22984179584e-15	26.9084974804	14.3303323235	15.790748596	274	0.1696594427244582	12	5	9.531	20	0	0.0	None	7432	5961	4142	829	0.829	181	24	61	3	274	662	1193	0.6153604028957491	0.42499318381465817	0.28169279010702153	0.18469562445620336	0.1919761528707053	0.444275828157	0.474707551303	0.129999791931	0.139055814715	160	395	528	9.0	0.16	0.395	0.528	0.009	12	604	1054
mscoco	True	15	5	30000	2601	2651833	3.11094077563e-09	9.7299468979e-18	3.7973047415e-19	72.8589178286	33.8549159387	37.324533778	1279	0.4917339484813533	5	6	10.21	20	0	0.0	None	5153	2622	1160	1000	1.0	866	207	262	37	1279	4520	6444	15	686	697	1626	4910361	8.9379704717e-06	7.13102352187e-14	4.286248036e-15	24.769245285	14.3850836184	15.7203558071	259	0.15928659286592867	12	5	9.436	20	0	0.0	None	7360	5919	4200	797	0.797	181	21	49	3	259	619	1100	0.6068273968005885	0.42231267289397223	0.28238063978627187	0.18639037084890112	0.18944570375961892	0.443399082837	0.468006452406	0.130690879936	0.141306499986	163	406	530	9.0	0.163	0.406	0.53	0.009	10	498	938
mscoco	False	8	1	30000	2590	2644320	1.70778325359e-09	9.24979491839e-18	4.47347347029e-19	74.751087516	33.4101230386	37.0472447873	1260	0.4864864864864865	5	6	10.306	20	0	0.0	None	5164	2506	1063	1000	1.0	857	215	253	20	1260	4529	6600	8	376	387	1623	4906779	1.11307060286e-05	2.56063189894e-13	1.35711701201e-14	23.9352918126	12.8207951621	14.2851156931	291	0.17929759704251386	11	5	9.777	20	0	0.0	None	7685	6133	4370	843	0.843	196	23	61	3	291	742	1323	0.6162422010841141	0.42054914329023374	0.27802535561679903	0.18093938395902104	0.19290141079723494	0.444888298984	0.467206814908	0.129343629229	0.13738772909	169	401	528	9.0	0.169	0.401	0.528	0.009	11	1173	1609
mscoco	False	8	2	30000	2577	2635441	1.32777363501e-09	7.54992014312e-18	3.02837635364e-19	74.3049305836	34.7491981691	38.354562608	1309	0.5079549864183158	5	6	10.358	20	0	0.0	None	5239	2655	1185	1000	1.0	881	199	267	34	1309	4577	6578	8	363	373	1623	4906779	1.08207874121e-05	2.65502451455e-13	1.4068261656e-14	22.6067037498	12.9404920751	14.2609031898	279	0.17190388170055454	6	5	9.891	20	0	0.0	None	7767	6264	4466	858	0.858	191	24	61	0	279	727	1314	0.6107572540692942	0.41943416309528425	0.28088420255597374	0.1843310663355276	0.1941823516333664	0.447375218209	0.475339035535	0.130266335021	0.140906492252	179	384	527	10.0	0.179	0.384	0.527	0.01	10	1068	1519
mscoco	False	8	3	30000	2573	2632709	1.31059563451e-09	1.14538348333e-17	4.37904012233e-19	72.9861142676	33.9480010576	37.3615968366	1269	0.49319860085503303	5	6	10.81	20	0	0.0	None	5446	2760	1232	1000	1.0	858	210	272	29	1269	4783	6949	8	342	353	1629	4913943	1.04308244172e-05	2.54298329864e-13	1.39424640054e-14	22.7150246593	12.9948685464	14.2630693617	270	0.16574585635359115	11	5	9.718	20	0	0.0	None	7621	6137	4329	818	0.818	180	19	59	2	270	695	1250	0.6166007678265015	0.423832869163819	0.28159889666929744	0.18578389560357314	0.1945393452135055	0.445844861753	0.479724571793	0.132393864622	0.141064162831	166	412	531	9.0	0.166	0.412	0.531	0.009	10	1057	1502
mscoco	False	8	4	30000	2545	2613585	1.57050302865e-09	8.243252463e-18	3.2614130708e-19	82.2272089634	33.9538664169	38.0646777658	1266	0.49744597249508843	5	6	10.507	20	0	0.0	None	5292	2670	1189	1000	1.0	861	189	280	34	1266	4677	6742	8	354	365	1615	4897227	1.15879759987e-05	2.7577606858e-13	1.47568735303e-14	23.0217849691	12.8650770533	14.2063587474	306	0.18947368421052632	11	5	9.978	20	0	0.0	None	7860	6319	4532	836	0.836	207	26	65	4	306	759	1357	0.60713569853672	0.4182647821030184	0.2777374068203978	0.18283881033491842	0.1949006522839882	0.443388447394	0.477688367135	0.130608402276	0.139746007127	152	379	522	9.5	0.152	0.379	0.522	0.0095	11	1181	1641
mscoco	False	8	5	30000	2601	2651833	1.740675933e-09	1.18902541056e-17	4.25847027618e-19	71.7225191976	33.6003937501	37.2033038724	1332	0.5121107266435986	5	6	10.443	20	0	0.0	None	5104	2556	1152	999	0.999	896	221	277	36	1332	4767	6723	8	374	385	1626	4910361	1.00437093007e-05	2.4769746045e-13	1.28406546953e-14	22.7853901177	13.189999467	14.3635491858	251	0.15436654366543665	20	5	9.853	20	0	0.0	None	7775	6288	4561	805	0.805	175	18	49	1	251	617	1105	0.6220440474981608	0.4324833204676971	0.28914990686881586	0.19109312365705114	0.19729015937337543	0.452091632329	0.492305995084	0.132629821185	0.1419807956	164	407	520	9.0	0.164	0.407	0.52	0.009	9	967	1409
mscoco	False	9	1	30000	2590	2644320	2.07172752484e-09	8.79651393143e-18	3.57339393292e-19	76.2379922945	33.9819092294	38.0131489362	1291	0.49845559845559845	5	6	10.401	20	0	0.0	None	5127	2536	1121	1000	1.0	870	204	256	32	1291	4665	6680	9	423	434	1623	4906779	1.12729650842e-05	2.76660087334e-13	1.49331934432e-14	23.5404463033	12.8238176051	14.1986264105	300	0.18484288354898337	11	5	9.85	18	0	0.0	None	7743	6193	4409	820	0.82	205	22	62	0	300	763	1362	0.6006091370557766	0.4071796507723117	0.26864682889076635	0.17625938106557754	0.18975579393312164	0.434254721541	0.448363395152	0.129119300807	0.133251141146	154	388	515	10.0	0.154	0.388	0.515	0.01	11	1169	1604
mscoco	False	9	2	30000	2577	2635441	1.79993455743e-09	1.08852046346e-17	4.11340244425e-19	73.4127380919	33.8695289156	37.3925074494	1331	0.5164920450135817	5	6	10.743	20	0	0.0	None	5351	2729	1239	1000	1.0	907	220	272	28	1331	4801	6900	9	406	418	1623	4906779	1.19659975753e-05	2.58073278515e-13	1.43911872765e-14	22.7137848467	12.823337045	14.2149190502	277	0.17067159581022798	13	5	9.888	20	0	0.0	None	7777	6276	4503	832	0.832	182	19	64	0	277	696	1264	0.6089199029125597	0.42009836482382634	0.28027007274048354	0.18404875000337165	0.1943690903415897	0.4466393959	0.483885547763	0.13208842173	0.140370200875	160	380	517	10.0	0.16	0.38	0.517	0.01	10	1064	1509
